[Cycles : Iteration : Population Size : Dimension] [  2 :   99 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.3626819849014282]
[Cycles : Iteration : Population Size : Dimension] [  2 :  100 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.3662849664688110]
[Cycles : Iteration : Population Size : Dimension] [  2 :  101 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.3698984384536743]
[Cycles : Iteration : Population Size : Dimension] [  2 :  102 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.3736494779586792]
[Cycles : Iteration : Population Size : Dimension] [  2 :  103 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.3779649734497070]
[Cycles : Iteration : Population Size : Dimension] [  2 :  104 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.3816003799438477]
[Cycles : Iteration : Population Size : Dimension] [  2 :  105 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.3852230310440063]
[Cycles : Iteration : Population Size : Dimension] [  2 :  106 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.3888599872589111]
[Cycles : Iteration : Population Size : Dimension] [  2 :  107 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.3924274444580078]
[Cycles : Iteration : Population Size : Dimension] [  2 :  108 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.3960474729537964]
[Cycles : Iteration : Population Size : Dimension] [  2 :  109 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.3995995521545410]
[Cycles : Iteration : Population Size : Dimension] [  2 :  110 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.4031374454498291]
[Cycles : Iteration : Population Size : Dimension] [  2 :  111 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.4068504571914673]
[Cycles : Iteration : Population Size : Dimension] [  2 :  112 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.4104390144348145]
[Cycles : Iteration : Population Size : Dimension] [  2 :  113 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.4139454364776611]
[Cycles : Iteration : Population Size : Dimension] [  2 :  114 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.4175709486007690]
[Cycles : Iteration : Population Size : Dimension] [  2 :  115 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.4211629629135132]
[Cycles : Iteration : Population Size : Dimension] [  2 :  116 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.4247534275054932]
[Cycles : Iteration : Population Size : Dimension] [  2 :  117 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.4283009767532349]
[Cycles : Iteration : Population Size : Dimension] [  2 :  118 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.4318945407867432]
[Cycles : Iteration : Population Size : Dimension] [  2 :  119 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.4354869127273560]
[Cycles : Iteration : Population Size : Dimension] [  2 :  120 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.4391105175018311]
[Cycles : Iteration : Population Size : Dimension] [  2 :  121 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.4426623582839966]
[Cycles : Iteration : Population Size : Dimension] [  2 :  122 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.4464938640594482]
[Cycles : Iteration : Population Size : Dimension] [  2 :  123 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.4500988721847534]
[Cycles : Iteration : Population Size : Dimension] [  2 :  124 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.4538054466247559]
[Cycles : Iteration : Population Size : Dimension] [  2 :  125 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.4574044942855835]
[Cycles : Iteration : Population Size : Dimension] [  2 :  126 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.4610284566879272]
[Cycles : Iteration : Population Size : Dimension] [  2 :  127 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.4646685123443604]
[Cycles : Iteration : Population Size : Dimension] [  2 :  128 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.4683294296264648]
[Cycles : Iteration : Population Size : Dimension] [  2 :  129 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.4719004631042480]
[Cycles : Iteration : Population Size : Dimension] [  2 :  130 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.4755738973617554]
[Cycles : Iteration : Population Size : Dimension] [  2 :  131 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.4791519641876221]
