[Cycles : Iteration : Population Size : Dimension] [  2 :  134 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2852120399475098]
[Cycles : Iteration : Population Size : Dimension] [  2 :  135 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2858554124832153]
[Cycles : Iteration : Population Size : Dimension] [  2 :  136 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2907814979553223]
[Cycles : Iteration : Population Size : Dimension] [  2 :  137 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2942519187927246]
[Cycles : Iteration : Population Size : Dimension] [  2 :  138 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2961804866790771]
[Cycles : Iteration : Population Size : Dimension] [  2 :  139 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2977359294891357]
[Cycles : Iteration : Population Size : Dimension] [  2 :  140 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.2987524271011353]
[Cycles : Iteration : Population Size : Dimension] [  2 :  141 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3036330938339233]
[Cycles : Iteration : Population Size : Dimension] [  2 :  142 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3047285079956055]
[Cycles : Iteration : Population Size : Dimension] [  2 :  143 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3067754507064819]
[Cycles : Iteration : Population Size : Dimension] [  2 :  144 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3083215951919556]
[Cycles : Iteration : Population Size : Dimension] [  2 :  145 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3098689317703247]
[Cycles : Iteration : Population Size : Dimension] [  2 :  146 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3110315799713135]
[Cycles : Iteration : Population Size : Dimension] [  2 :  147 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3130060434341431]
[Cycles : Iteration : Population Size : Dimension] [  2 :  148 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3142645359039307]
[Cycles : Iteration : Population Size : Dimension] [  2 :  149 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3181824684143066]
[Cycles : Iteration : Population Size : Dimension] [  2 :  150 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3202040195465088]
[Cycles : Iteration : Population Size : Dimension] [  2 :  151 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3217484951019287]
[Cycles : Iteration : Population Size : Dimension] [  2 :  152 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3232700824737549]
[Cycles : Iteration : Population Size : Dimension] [  2 :  153 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3238804340362549]
[Cycles : Iteration : Population Size : Dimension] [  2 :  154 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3253954648971558]
