[Cycles : Iteration : Population Size : Dimension] [  2 :   93 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.1278730630874634]
[Cycles : Iteration : Population Size : Dimension] [  2 :   94 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.1291913986206055]
[Cycles : Iteration : Population Size : Dimension] [  2 :   95 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.1308779716491699]
[Cycles : Iteration : Population Size : Dimension] [  2 :   96 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.1321355104446411]
[Cycles : Iteration : Population Size : Dimension] [  2 :   97 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.1334249973297119]
[Cycles : Iteration : Population Size : Dimension] [  2 :   98 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.1347819566726685]
[Cycles : Iteration : Population Size : Dimension] [  2 :   99 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.1360744237899780]
[Cycles : Iteration : Population Size : Dimension] [  2 :  100 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.1373729705810547]
[Cycles : Iteration : Population Size : Dimension] [  2 :  101 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.1380079984664917]
[Cycles : Iteration : Population Size : Dimension] [  2 :  102 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.1399428844451904]
[Cycles : Iteration : Population Size : Dimension] [  2 :  103 :  30 :  5] [Fitness : Time]: [	-183.8868596300509353 ,	0.1412254571914673]
[Cycles : Iteration : Population Size : Dimension] [  2 :  104 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1418755054473877]
[Cycles : Iteration : Population Size : Dimension] [  2 :  105 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1437824964523315]
[Cycles : Iteration : Population Size : Dimension] [  2 :  106 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1450605392456055]
[Cycles : Iteration : Population Size : Dimension] [  2 :  107 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1457059383392334]
[Cycles : Iteration : Population Size : Dimension] [  2 :  108 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1476725339889526]
[Cycles : Iteration : Population Size : Dimension] [  2 :  109 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1489619016647339]
[Cycles : Iteration : Population Size : Dimension] [  2 :  110 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1503639221191406]
[Cycles : Iteration : Population Size : Dimension] [  2 :  111 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1516749858856201]
[Cycles : Iteration : Population Size : Dimension] [  2 :  112 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1530120372772217]
[Cycles : Iteration : Population Size : Dimension] [  2 :  113 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1543760299682617]
[Cycles : Iteration : Population Size : Dimension] [  2 :  114 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1556755304336548]
[Cycles : Iteration : Population Size : Dimension] [  2 :  115 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1569678783416748]
[Cycles : Iteration : Population Size : Dimension] [  2 :  116 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1576039791107178]
[Cycles : Iteration : Population Size : Dimension] [  2 :  117 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1595309972763062]
[Cycles : Iteration : Population Size : Dimension] [  2 :  118 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1609015464782715]
[Cycles : Iteration : Population Size : Dimension] [  2 :  119 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1616029739379883]
[Cycles : Iteration : Population Size : Dimension] [  2 :  120 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1630710363388062]
[Cycles : Iteration : Population Size : Dimension] [  2 :  121 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1648399829864502]
[Cycles : Iteration : Population Size : Dimension] [  2 :  122 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1655129194259644]
[Cycles : Iteration : Population Size : Dimension] [  2 :  123 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1673694849014282]
[Cycles : Iteration : Population Size : Dimension] [  2 :  124 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1686893701553345]
[Cycles : Iteration : Population Size : Dimension] [  2 :  125 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1693429946899414]
[Cycles : Iteration : Population Size : Dimension] [  2 :  126 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1711734533309937]
[Cycles : Iteration : Population Size : Dimension] [  2 :  127 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1719599962234497]
[Cycles : Iteration : Population Size : Dimension] [  2 :  128 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1731644868850708]
[Cycles : Iteration : Population Size : Dimension] [  2 :  129 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1749260425567627]
[Cycles : Iteration : Population Size : Dimension] [  2 :  130 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1762064695358276]
[Cycles : Iteration : Population Size : Dimension] [  2 :  131 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1770154237747192]
