[Cycles : Iteration : Population Size : Dimension] [  2 :  135 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0942255258560181]
[Cycles : Iteration : Population Size : Dimension] [  2 :  136 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0945550203323364]
[Cycles : Iteration : Population Size : Dimension] [  2 :  137 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0955200195312500]
[Cycles : Iteration : Population Size : Dimension] [  2 :  138 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0961794853210449]
[Cycles : Iteration : Population Size : Dimension] [  2 :  139 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0968139171600342]
[Cycles : Iteration : Population Size : Dimension] [  2 :  140 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0974760055541992]
[Cycles : Iteration : Population Size : Dimension] [  2 :  141 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0981395244598389]
[Cycles : Iteration : Population Size : Dimension] [  2 :  142 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0985054969787598]
[Cycles : Iteration : Population Size : Dimension] [  2 :  143 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.0994504690170288]
[Cycles : Iteration : Population Size : Dimension] [  2 :  144 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1000959873199463]
[Cycles : Iteration : Population Size : Dimension] [  2 :  145 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1007549762725830]
[Cycles : Iteration : Population Size : Dimension] [  2 :  146 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1014335155487061]
[Cycles : Iteration : Population Size : Dimension] [  2 :  147 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1021784543991089]
[Cycles : Iteration : Population Size : Dimension] [  2 :  148 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1022485494613647]
[Cycles : Iteration : Population Size : Dimension] [  2 :  149 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1034744977951050]
[Cycles : Iteration : Population Size : Dimension] [  2 :  150 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1041294336318970]
[Cycles : Iteration : Population Size : Dimension] [  2 :  151 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1047569513320923]
[Cycles : Iteration : Population Size : Dimension] [  2 :  152 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1054170131683350]
[Cycles : Iteration : Population Size : Dimension] [  2 :  153 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1060999631881714]
[Cycles : Iteration : Population Size : Dimension] [  2 :  154 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1064488887786865]
[Cycles : Iteration : Population Size : Dimension] [  2 :  155 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1074060201644897]
[Cycles : Iteration : Population Size : Dimension] [  2 :  156 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1081249713897705]
[Cycles : Iteration : Population Size : Dimension] [  2 :  157 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1087710857391357]
[Cycles : Iteration : Population Size : Dimension] [  2 :  158 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1094119548797607]
[Cycles : Iteration : Population Size : Dimension] [  2 :  159 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1100969314575195]
[Cycles : Iteration : Population Size : Dimension] [  2 :  160 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1104505062103271]
[Cycles : Iteration : Population Size : Dimension] [  2 :  161 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1113975048065186]
[Cycles : Iteration : Population Size : Dimension] [  2 :  162 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1120554208755493]
[Cycles : Iteration : Population Size : Dimension] [  2 :  163 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1127029657363892]
[Cycles : Iteration : Population Size : Dimension] [  2 :  164 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1133470535278320]
[Cycles : Iteration : Population Size : Dimension] [  2 :  165 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1140195131301880]
[Cycles : Iteration : Population Size : Dimension] [  2 :  166 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1143825054168701]
[Cycles : Iteration : Population Size : Dimension] [  2 :  167 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1153160333633423]
[Cycles : Iteration : Population Size : Dimension] [  2 :  168 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1159625053405762]
[Cycles : Iteration : Population Size : Dimension] [  2 :  169 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1165965795516968]
[Cycles : Iteration : Population Size : Dimension] [  2 :  170 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1173545122146606]
[Cycles : Iteration : Population Size : Dimension] [  2 :  171 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1180180311203003]
[Cycles : Iteration : Population Size : Dimension] [  2 :  172 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1189210414886475]
[Cycles : Iteration : Population Size : Dimension] [  2 :  173 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1195955276489258]
[Cycles : Iteration : Population Size : Dimension] [  2 :  174 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1202340126037598]
[Cycles : Iteration : Population Size : Dimension] [  2 :  175 :  30 :  2] [Fitness : Time]: [	3.0256229500496321 ,	0.1208795309066772]
