[Cycles : Iteration : Population Size : Dimension] [  1 :  112 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.4910688400268555]
[Cycles : Iteration : Population Size : Dimension] [  1 :  113 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.4963960647583008]
[Cycles : Iteration : Population Size : Dimension] [  1 :  114 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.5018699169158936]
[Cycles : Iteration : Population Size : Dimension] [  1 :  115 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.5088510513305664]
[Cycles : Iteration : Population Size : Dimension] [  1 :  116 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.5141038894653320]
[Cycles : Iteration : Population Size : Dimension] [  1 :  117 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.5189168453216553]
[Cycles : Iteration : Population Size : Dimension] [  1 :  118 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.5269260406494141]
[Cycles : Iteration : Population Size : Dimension] [  1 :  119 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.5335800647735596]
[Cycles : Iteration : Population Size : Dimension] [  1 :  120 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.5393710136413574]
[Cycles : Iteration : Population Size : Dimension] [  1 :  121 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.5447449684143066]
[Cycles : Iteration : Population Size : Dimension] [  1 :  122 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.5498859882354736]
[Cycles : Iteration : Population Size : Dimension] [  1 :  123 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.5550479888916016]
[Cycles : Iteration : Population Size : Dimension] [  1 :  124 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.5586779117584229]
[Cycles : Iteration : Population Size : Dimension] [  1 :  125 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.5626568794250488]
[Cycles : Iteration : Population Size : Dimension] [  1 :  126 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.5691008567810059]
[Cycles : Iteration : Population Size : Dimension] [  1 :  127 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.5734379291534424]
[Cycles : Iteration : Population Size : Dimension] [  1 :  128 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.5843780040740967]
[Cycles : Iteration : Population Size : Dimension] [  1 :  129 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.5896458625793457]
[Cycles : Iteration : Population Size : Dimension] [  1 :  130 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.5942049026489258]
[Cycles : Iteration : Population Size : Dimension] [  1 :  131 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.5993130207061768]
[Cycles : Iteration : Population Size : Dimension] [  1 :  132 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.6026690006256104]
[Cycles : Iteration : Population Size : Dimension] [  1 :  133 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.6092689037322998]
[Cycles : Iteration : Population Size : Dimension] [  1 :  134 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.6142408847808838]
[Cycles : Iteration : Population Size : Dimension] [  1 :  135 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.6189198493957520]
[Cycles : Iteration : Population Size : Dimension] [  1 :  136 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.6244380474090576]
[Cycles : Iteration : Population Size : Dimension] [  1 :  137 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.6348469257354736]
[Cycles : Iteration : Population Size : Dimension] [  1 :  138 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.6389200687408447]
[Cycles : Iteration : Population Size : Dimension] [  1 :  139 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.6450889110565186]
[Cycles : Iteration : Population Size : Dimension] [  1 :  140 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.6496930122375488]
[Cycles : Iteration : Population Size : Dimension] [  1 :  141 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.6551408767700195]
[Cycles : Iteration : Population Size : Dimension] [  1 :  142 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.6586580276489258]
[Cycles : Iteration : Population Size : Dimension] [  1 :  143 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.6652798652648926]
[Cycles : Iteration : Population Size : Dimension] [  1 :  144 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.6698648929595947]
[Cycles : Iteration : Population Size : Dimension] [  1 :  145 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.6743929386138916]
[Cycles : Iteration : Population Size : Dimension] [  1 :  146 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.6787309646606445]
[Cycles : Iteration : Population Size : Dimension] [  1 :  147 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.6897339820861816]
[Cycles : Iteration : Population Size : Dimension] [  1 :  148 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.6949460506439209]
[Cycles : Iteration : Population Size : Dimension] [  1 :  149 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.6986620426177979]
[Cycles : Iteration : Population Size : Dimension] [  1 :  150 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.7054710388183594]
[Cycles : Iteration : Population Size : Dimension] [  1 :  151 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.7100560665130615]
[Cycles : Iteration : Population Size : Dimension] [  1 :  152 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.7150969505310059]
[Cycles : Iteration : Population Size : Dimension] [  1 :  153 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.7186729907989502]
[Cycles : Iteration : Population Size : Dimension] [  1 :  154 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.7256999015808105]
[Cycles : Iteration : Population Size : Dimension] [  1 :  155 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.7309129238128662]
[Cycles : Iteration : Population Size : Dimension] [  1 :  156 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.7366299629211426]
[Cycles : Iteration : Population Size : Dimension] [  1 :  157 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.7419509887695312]
[Cycles : Iteration : Population Size : Dimension] [  1 :  158 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.7470839023590088]
[Cycles : Iteration : Population Size : Dimension] [  1 :  159 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.7609260082244873]
[Cycles : Iteration : Population Size : Dimension] [  1 :  160 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.7658839225769043]
[Cycles : Iteration : Population Size : Dimension] [  1 :  161 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.7708308696746826]
[Cycles : Iteration : Population Size : Dimension] [  1 :  162 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.7758429050445557]
[Cycles : Iteration : Population Size : Dimension] [  1 :  163 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.7812528610229492]
[Cycles : Iteration : Population Size : Dimension] [  1 :  164 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.7866308689117432]
[Cycles : Iteration : Population Size : Dimension] [  1 :  165 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.7907409667968750]
[Cycles : Iteration : Population Size : Dimension] [  1 :  166 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.7956769466400146]
[Cycles : Iteration : Population Size : Dimension] [  1 :  167 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.7986629009246826]
[Cycles : Iteration : Population Size : Dimension] [  1 :  168 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.8046948909759521]
[Cycles : Iteration : Population Size : Dimension] [  1 :  169 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.8176078796386719]
[Cycles : Iteration : Population Size : Dimension] [  1 :  170 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.8227398395538330]
[Cycles : Iteration : Population Size : Dimension] [  1 :  171 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.8266708850860596]
[Cycles : Iteration : Population Size : Dimension] [  1 :  172 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.8326749801635742]
[Cycles : Iteration : Population Size : Dimension] [  1 :  173 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.8376529216766357]
[Cycles : Iteration : Population Size : Dimension] [  1 :  174 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.8426430225372314]
[Cycles : Iteration : Population Size : Dimension] [  1 :  175 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.8466629981994629]
[Cycles : Iteration : Population Size : Dimension] [  1 :  176 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.8522670269012451]
[Cycles : Iteration : Population Size : Dimension] [  1 :  177 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.8572869300842285]
[Cycles : Iteration : Population Size : Dimension] [  1 :  178 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.8622720241546631]
[Cycles : Iteration : Population Size : Dimension] [  1 :  179 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.8679409027099609]
[Cycles : Iteration : Population Size : Dimension] [  1 :  180 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.8730988502502441]
[Cycles : Iteration : Population Size : Dimension] [  1 :  181 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.8866138458251953]
[Cycles : Iteration : Population Size : Dimension] [  1 :  182 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.8922128677368164]
[Cycles : Iteration : Population Size : Dimension] [  1 :  183 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.8972220420837402]
[Cycles : Iteration : Population Size : Dimension] [  1 :  184 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.9019699096679688]
[Cycles : Iteration : Population Size : Dimension] [  1 :  185 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.9073688983917236]
[Cycles : Iteration : Population Size : Dimension] [  1 :  186 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.9121868610382080]
[Cycles : Iteration : Population Size : Dimension] [  1 :  187 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.9175019264221191]
[Cycles : Iteration : Population Size : Dimension] [  1 :  188 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.9220678806304932]
[Cycles : Iteration : Population Size : Dimension] [  1 :  189 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.9264519214630127]
[Cycles : Iteration : Population Size : Dimension] [  1 :  190 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.9310338497161865]
[Cycles : Iteration : Population Size : Dimension] [  1 :  191 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.9398250579833984]
[Cycles : Iteration : Population Size : Dimension] [  1 :  192 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.9466269016265869]
[Cycles : Iteration : Population Size : Dimension] [  1 :  193 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.9519908428192139]
[Cycles : Iteration : Population Size : Dimension] [  1 :  194 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.9568569660186768]
[Cycles : Iteration : Population Size : Dimension] [  1 :  195 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.9619688987731934]
[Cycles : Iteration : Population Size : Dimension] [  1 :  196 :  30 :  4] [Fitness : Time]: [	0.0000000000000000 ,	0.9664120674133301]
